Start,End
ranchi,lohardaga
ranchi,gumla
ranchi,latehar
ranchi,west_singhbhum
ranchi,saraikela_kharsawan
ranchi,hazaribagh
ranchi,chatra
ranchi,khunti
ranchi,ramgarh
lohardaga,gumla
lohardaga,latehar
gumla,simdega
gumla,latehar
gumla,khunti
simdega,west_singhbhum
simdega,khunti
palamu,latehar
palamu,garhwa
palamu,chatra
latehar,garhwa
latehar,chatra
west_singhbhum,saraikela_kharsawan
west_singhbhum,khunti
saraikela_kharsawan,east_singhbhum
dumka,jamtara
dumka,pakur
dumka,godda
dumka,deoghar
jamtara,giridh
jamtara,dhanbad
jamtara,deoghar
sahebganj,pakur
sahebganj,godda
pakur,godda
hazaribagh,chatra
hazaribagh,koderma
hazaribagh,giridh
hazaribagh,bokaro
hazaribagh,ramgarh
koderma,giridh
giridh,dhanbad
giridh,bokaro
giridh,deoghar
dhanbad,bokaro
bokaro,ramgarh
